,idPolair,nom_station,coord_x_l93,coord_y_l93,X_lamb2,Y_lamb2,LON,LAT,Département,Zone_EPCI,typologie,NO2_influence,NO2_2012,NO2_2013,NO2_2014,NO2_2015,NO2_2016,NO2_2017,O3_influence,O3_2012,O3_2013,O3_2014,O3_2015,O3_2016,O3_2017,PM10_influence,PM10_2012,PM10_2013,PM10_2014,PM10_2015,PM10_2016,PM10_2017,PM25_influence,PM25_2012,PM25_2013,PM25_2014,PM25_2015,PM25_2016,PM25_2017
0,15013,Champ_sur_Drac,914668.44,6445968.5,867090.82,2014539.48,5.72865935182724,45.0795945160278,Isère,CC Sud Grenoblois,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
1,15017,Fontaine_les_Balmes,910970.88,6458165.5,863285.49,2026715.96,5.68696965471992,45.1904939464065,Isère,CA Grenoble,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
2,15018,Voiron_Urbain,902699.0,6476726.0,854847.0,2045221.0,5.58944333131296,45.3600137204882,Isère,CA Pays Voironnais,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,,NA,,,,,,
3,15031,Ecrins,973315.81,6439213.0,925852.02,2008282.66,6.46950062878009,44.9980956246051,Isère,CC du Briançonnais,Rurale,NA,,,,,,,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,NA,,,,,,
4,15038,Saint_Martin_Heres,916202.0,6457516.0,868526.98,2026110.36,5.75325264688085,45.1830269553378,Isère,CA Grenoble,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
5,15039,Grenoble_Rocade_Sud,912411.38,6454650.5,864757.05,2023210.11,5.70376956701008,45.1584201584421,Isère,CA Grenoble,Peri-Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,Trafic,1.0,1.0,1.0,1.0,1.0,1.0
6,15043,Grenoble_les_Frenes,914916.0,6455102.0,867260.0,2023683.0,5.73582438328815,45.1617064773352,Isère,CA Grenoble,Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0
7,15045,Vif,910678.63,6443436.5,863119.88,2011969.78,5.67689328566633,45.0580393471876,Isère,CA Grenoble,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
8,15046,Grenoble_Boulevards,913650.0,6457175.0,865975.0,2025746.0,5.72063017716915,45.1807546902755,Isère,CA Grenoble,Urbaine,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,,Trafic,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
9,15048,Gresivaudan,925945.81,6468636.5,878184.26,2037325.38,5.88239598747478,45.2799648220649,Isère,CC du Pays du Grésivaudan,Peri-Urbaine,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,Fond,1.0,1.0,1.0,1.0,1.0,1.0,NA,,,,,,
